"Municipality","UnemploymentRate","DependencyRatio","PopulationChangePerYear","PerCapitaIncomeTax","ExpenditurePerStudent","PerCapitaRealEstateTax","FemaleRatio"
"Ādažu novads",4.89%,468,2.29%,660.54,994.56,107.42,52.50%
"Alojas novads",9.00%,532,-1.15%,241.41,"1,182.79",32.55,51.67%
"Babītes novads",5.21%,503,1.89%,721.98,"1,455.01",122.72,52.32%
"Baldones novads",4.52%,542,0.40%,479.36,"1,127.28",54.82,52.19%
"Carnikavas novads",5.29%,527,2.21%,644.56,"2,290.30",130.13,51.48%
"Engures novads",5.86%,542,-1.20%,412.92,"1,014.93",49.52,51.71%
"Garkalnes novads",4.85%,465,3.79%,769.75,"2,014.94",139.71,51.06%
"Ikšķiles novads",5.01%,544,1.40%,726.36,971.44,57.38,51.86%
"Inčukalna novads",9.53%,475,0.28%,465.52,"1,234.93",50.93,52.63%
"Jaunpils novads",7.99%,493,-0.25%,320.45,924.95,52.89,50.78%
"Jūrmala",7.99%,526,-0.12%,521.26,"1,083.49",161.60,54.39%
"Kandavas novads",7.56%,531,-1.52%,276.83,978.49,45.97,51.83%
"Ķeguma novads",7.50%,476,-1.04%,415.92,"1,480.11",58.03,50.83%
"Ķekavas novads",3.98%,507,1.61%,696.88,"1,228.21",87.00,52.95%
"Krimuldas novads",7.44%,481,-0.40%,403.89,"1,612.63",56.46,51.19%
"Lielvārdes novads",6.53%,510,-0.56%,424.88,"1,484.39",34.81,53.06%
"Limbažu novads",10.99%,524,-1.24%,329.98,"1,156.94",49.08,52.41%
"Mālpils novads",6.47%,476,-2.25%,374.75,"1,684.04",48.23,51.53%
"Mārupes novads",4.01%,524,4.84%,849.54,"1,448.17",163.19,52.40%
"Ogres novads",5.98%,517,-0.52%,447.65,"1,249.39",46.72,53.73%
"Olaines novads",7.68%,477,0.69%,507.07,"1,256.00",57.74,54.15%
"Rīga",6.46%,529,-0.78%,541.24,"1,171.56",111.73,55.51%
"Ropažu novads",6.43%,450,2.04%,450.55,"1,098.48",57.78,52.26%
"Salacgrīvas novads",6.91%,515,-1.11%,361.42,951.62,49.19,51.93%
