"Municipality","UnemploymentRate","DependencyRatio","PopulationChangePerYear","PerCapitaIncomeTax","ExpenditurePerStudent","PerCapitaRealEstateTax","FemaleRatio"
"Ādažu novads",3.36%,500,1.39%,766.56,"1,250.07",126.14,52.37%
"Alojas novads",7.78%,529,-1.63%,279.02,"1,360.41",35.56,51.53%
"Babītes novads",3.91%,523,2.88%,795.79,"1,462.61",138.17,52.20%
"Baldones novads",3.02%,552,-0.63%,567.51,"1,316.05",55.31,52.34%
"Carnikavas novads",3.32%,554,0.93%,709.09,"2,175.12",164.03,51.30%
"Engures novads",4.79%,550,-0.61%,464.68,"1,518.87",58.98,51.56%
"Garkalnes novads",3.57%,493,2.92%,850.34,"1,736.80",154.85,50.93%
"Ikšķiles novads",3.45%,568,1.62%,810.59,"1,218.15",70.14,51.43%
"Inčukalna novads",7.49%,496,-0.67%,507.09,"1,346.67",54.68,52.34%
"Jaunpils novads",7.16%,510,-1.64%,371.47,"1,131.81",69.14,50.00%
"Jūrmala",5.77%,551,2.08%,578.60,"1,395.49",139.87,54.14%
"Kandavas novads",6.51%,530,-0.89%,317.63,"1,170.99",57.06,51.81%
"Ķeguma novads",5.39%,485,-0.37%,470.43,"2,238.13",59.07,50.88%
"Ķekavas novads",3.63%,534,1.33%,783.71,"2,464.79",101.02,52.68%
"Krimuldas novads",5.95%,489,-1.18%,438.32,"3,245.06",58.61,50.53%
"Lielvārdes novads",4.60%,520,-0.38%,487.12,"1,467.78",43.19,52.61%
"Limbažu novads",10.27%,540,-1.64%,367.96,"1,278.71",58.33,52.07%
"Mālpils novads",5.15%,504,-1.46%,454.34,"2,480.73",59.39,51.15%
"Mārupes novads",3.01%,545,2.75%,936.85,"1,670.16",181.50,52.27%
"Ogres novads",4.95%,550,-1.05%,499.72,"1,384.67",51.54,53.77%
"Olaines novads",5.16%,508,-0.70%,572.01,"1,282.05",68.59,54.05%
"Rīga",4.90%,558,-0.37%,610.67,"1,115.39",121.09,55.40%
"Ropažu novads",4.40%,455,0.55%,503.56,"1,334.50",67.10,51.64%
"Salacgrīvas novads",6.29%,505,-1.67%,400.14,"1,479.87",55.12,51.83%
"Salaspils novads",5.25%,532,0.17%,615.06,"1,889.37",67.37,52.99%
"Saulkrastu novads",4.18%,605,1.12%,555.49,"1,337.12",179.69,53.42%
"Sējas novads",6.17%,499,-0.41%,513.75,"1,126.08",86.98,51.75%
"Siguldas novads",5.71%,541,0.93%,577.75,"1,492.60",70.16,53.65%
"Stopiņu novads",4.07%,508,2.13%,704.96,"1,958.19",130.92,52.62%
"Tukuma novads",7.06%,547,-1.37%,412.74,"1,569.54",55.07,52.30%
"Alūksnes novads",12.55%,520,-1.62%,310.90,"1,485.76",38.92,52.00%
"Amatas novads",6.83%,524,-1.19%,362.98,"2,514.64",57.04,50.75%
"Apes novads",7.28%,532,-1.80%,287.79,"2,415.48",52.54,50.65%
"Beverīnas novads",8.50%,524,-0.09%,407.99,"1,516.13",60.04,50.11%
"Burtnieku novads",5.65%,517,-1.14%,391.41,"2,884.37",55.03,51.45%
"Cēsu novads",6.50%,544,-0.62%,464.58,"1,440.16",55.20,54.45%
"Cesvaines novads",11.13%,520,-1.04%,326.11,"1,795.25",37.07,52.36%
"Ērgļu novads",10.96%,572,-2.19%,296.18,921.98,51.13,52.40%
"Gulbenes novads",8.62%,508,-1.19%,344.45,"1,470.21",38.44,52.52%
"Jaunpiebalgas novads",5.50%,544,-2.22%,309.03,"1,411.34",43.35,52.98%
"Kocēnu novads",8.22%,495,-1.67%,389.62,"2,270.91",53.00,51.51%
"Līgatnes novads",7.04%,548,-2.25%,384.88,"1,525.95",34.46,51.95%
"Lubānas novads",11.23%,523,-1.25%,363.53,"1,552.52",41.06,51.68%
"Madonas novads",11.20%,513,-1.53%,342.00,"1,535.53",41.16,52.25%
"Mazsalacas novads",8.40%,604,-2.44%,274.90,"1,719.93",39.58,53.16%
"Naukšēnu novads",7.25%,476,-2.35%,383.51,"1,380.66",67.58,51.48%
"Pārgaujas novads",6.79%,517,-0.71%,402.78,"2,025.09",44.80,50.51%
"Priekuļu novads",7.12%,500,-1.26%,420.76,885.00,35.48,51.96%
"Raunas novads",7.45%,532,-1.50%,295.59,931.41,46.98,51.18%
"Rūjienas novads",7.75%,539,-1.74%,327.70,"1,580.88",34.19,52.67%
"Smiltenes novads",6.92%,521,-0.94%,413.99,"1,501.83",44.65,51.78%
"Strenču novads",10.79%,600,-2.88%,327.42,"1,172.97",33.57,52.35%
"Valkas novads",11.71%,559,-1.52%,335.86,"1,221.53",38.02,52.23%
"Valmiera",6.31%,556,-1.46%,533.72,"1,299.72",55.79,54.80%
"Varakļānu novads",11.00%,594,-1.05%,258.28,"1,331.91",35.94,54.03%
"Vecpiebalgas novads",7.34%,496,-1.41%,318.86,"1,472.14",45.73,50.19%
"Aizkraukles novads",8.90%,485,-1.95%,488.24,"1,192.53",47.77,53.94%
"Aknīstes novads",9.67%,476,-1.06%,353.65,"1,344.87",37.52,48.74%
"Auces novads",10.08%,548,-1.43%,346.25,"1,625.30",53.17,52.51%
"Bauskas novads",7.77%,502,-1.53%,403.21,"1,568.71",65.43,52.33%
"Dobeles novads",9.42%,518,-1.30%,453.88,"1,535.26",66.63,52.24%
"Iecavas novads",5.76%,522,-0.96%,488.22,"1,686.98",56.36,51.81%
"Jaunjelgavas novads",10.84%,506,-0.08%,363.07,"1,448.54",41.63,50.61%
"Jēkabpils",9.48%,536,-1.33%,399.48,"1,296.08",26.86,54.50%
"Jēkabpils novads",8.27%,511,-2.46%,265.35,"1,662.76",57.05,50.31%
"Jelgava",6.50%,537,-0.77%,517.63,"1,391.71",53.64,53.92%
"Jelgavas novads",8.96%,495,-1.31%,377.97,"2,423.60",75.60,51.09%
"Kokneses novads",7.25%,522,-1.01%,406.34,"3,079.26",33.90,52.25%
"Krustpils novads",10.81%,546,-0.24%,300.00,"2,321.20",58.74,50.14%
"Neretas novads",10.17%,477,-1.18%,303.91,"1,474.96",57.34,49.22%
"Ozolnieku novads",6.13%,559,0.14%,548.23,"1,829.50",63.05,52.06%
"Pļaviņu novads",9.41%,564,-1.00%,358.61,"1,432.92",34.07,52.25%
"Rundāles novads",9.49%,506,-0.26%,291.66,"1,193.56",96.85,50.52%
"Salas novads",10.66%,464,-0.75%,351.93,"1,487.01",36.64,50.20%
"Skrīveru novads",7.14%,572,-1.23%,427.30,"1,862.62",34.63,53.40%
"Tērvetes novads",9.60%,483,-1.73%,371.07,"1,965.64",88.49,51.61%
"Vecumnieku novads",6.65%,513,-0.74%,389.51,"1,607.74",54.85,50.34%
"Viesītes novads",10.61%,564,-1.91%,318.41,"1,196.82",49.08,51.82%
"Aglonas novads",18.49%,548,-2.69%,211.21,672.46,30.49,51.24%
"Baltinavas novads",24.67%,550,-2.20%,276.82,"3,626.13",50.43,52.02%
"Balvu novads",15.53%,517,-1.68%,286.86,"1,815.84",30.39,52.71%
"Ciblas novads",22.06%,505,-1.95%,236.24,"2,315.14",46.12,50.92%
"Dagdas novads",19.40%,530,-2.23%,229.52,"1,687.71",35.71,51.15%
"Daugavpils",7.64%,529,-1.04%,371.01,"1,208.91",32.06,55.10%
"Daugavpils novads",11.86%,504,-2.23%,253.87,"1,583.73",37.44,51.14%
"Ilūkstes novads",10.06%,548,-1.60%,271.98,"1,558.18",44.02,52.28%
"Kārsavas novads",22.51%,563,-2.15%,238.95,"1,123.88",37.18,53.06%
"Krāslavas novads",16.19%,531,-1.77%,255.08,"1,497.58",26.96,52.99%
"Līvānu novads",16.64%,511,-1.04%,297.70,"2,108.16",29.28,53.48%
"Ludzas novads",17.96%,523,-1.83%,283.08,"1,416.05",30.87,53.49%
"Preiļu novads",12.49%,498,-1.84%,355.48,"1,780.46",25.48,53.84%
"Rēzekne",13.67%,531,-1.47%,376.84,966.02,27.97,55.05%
"Rēzeknes novads",21.95%,505,-0.84%,247.18,"1,799.23",32.90,50.53%
"Riebiņu novads",16.75%,517,-1.89%,209.42,"1,131.56",43.66,49.97%
"Rugāju novads",17.46%,532,-0.77%,203.24,"3,058.60",52.63,50.95%
"Vārkavas novads",15.67%,552,-1.90%,184.36,"1,157.05",55.30,50.18%
"Viļakas novads",18.20%,544,-2.14%,242.67,"1,683.73",32.79,52.03%
"Viļānu novads",25.27%,530,-1.63%,249.33,"2,033.78",23.50,52.89%
"Zilupes novads",23.64%,526,-2.12%,199.80,"1,479.76",33.60,51.86%
"Aizputes novads",9.49%,593,-1.56%,343.72,"1,049.99",48.93,51.94%
"Alsungas novads",10.34%,520,-1.48%,312.51,"1,538.33",62.14,52.43%
"Brocēnu novads",8.42%,548,-1.34%,367.30,"1,469.05",56.72,51.77%
"Dundagas novads",4.25%,541,-0.86%,326.76,"1,751.28",54.09,50.47%
"Durbes novads",6.08%,540,-2.01%,332.38,"1,377.04",83.23,49.94%
"Grobiņas novads",5.80%,547,-0.75%,411.37,"1,441.88",60.87,51.83%
"Kuldīgas novads",11.04%,536,-1.10%,304.59,"1,492.95",49.63,52.43%
"Liepāja",7.38%,579,-1.16%,403.45,907.39,51.98,54.59%
"Mērsraga novads",5.14%,554,-0.94%,437.71,"1,969.05",78.37,51.91%
"Nīcas novads",6.75%,535,-1.19%,415.60,"3,406.96",52.75,50.27%
"Pāvilostas novads",6.42%,556,-1.70%,317.31,"1,549.10",84.06,51.34%
"Priekules novads",11.03%,571,-1.49%,296.69,"1,752.32",63.54,51.68%
"Rojas novads",4.19%,511,-1.07%,382.62,"1,464.11",62.10,52.74%
"Rucavas novads",9.61%,586,-2.23%,290.39,"1,516.08",126.40,49.84%
"Saldus novads",8.34%,507,-1.36%,377.10,"1,413.99",58.85,51.87%
"Skrundas novads",12.33%,574,-1.50%,280.42,"1,199.33",49.37,51.85%
"Talsu novads",8.61%,515,-1.22%,374.78,"1,387.38",45.56,52.21%
