"Municipality","UnemploymentRate","DependencyRatio","PopulationChangePerYear","PerCapitaIncomeTax","ExpenditurePerStudent","PerCapitaRealEstateTax","FemaleRatio"
"Ādažu novads",3.24%,491,1.15%,711.49,"1,121.45",116.47,52.46%
"Alojas novads",7.32%,535,-1.65%,259.93,"1,782.52",33.23,51.64%
"Babītes novads",3.70%,509,1.93%,774.24,"1,445.87",123.04,52.26%
"Baldones novads",2.83%,548,0.14%,525.35,"1,224.13",58.05,52.38%
"Carnikavas novads",3.50%,542,2.40%,692.75,"1,837.53",150.72,51.31%
"Engures novads",4.51%,541,-0.69%,437.46,"1,488.56",56.02,51.62%
"Garkalnes novads",3.46%,486,3.47%,848.96,"1,489.01",151.49,50.98%
"Ikšķiles novads",3.30%,562,1.84%,768.42,499.28,63.01,51.65%
"Inčukalna novads",7.02%,488,-0.74%,486.47,"2,089.98",50.08,52.67%
"Jaunpils novads",6.82%,509,-0.07%,347.79,"1,004.89",61.33,50.27%
"Jūrmala",5.83%,542,0.44%,576.00,"1,196.75",158.56,54.22%
"Kandavas novads",6.19%,522,-1.37%,304.76,"1,061.89",49.13,51.67%
"Ķeguma novads",5.33%,481,-1.70%,458.52,"1,665.62",58.16,50.73%
"Ķekavas novads",3.42%,522,1.24%,759.75,"1,574.98",89.90,52.81%
"Krimuldas novads",5.80%,482,-1.34%,412.19,"1,736.14",57.72,50.79%
"Lielvārdes novads",4.49%,510,-1.46%,460.34,"1,374.35",39.81,52.83%
"Limbažu novads",9.36%,531,-0.91%,353.65,"1,146.56",50.66,52.25%
"Mālpils novads",4.95%,491,-1.95%,419.36,"1,580.01",50.16,51.30%
"Mārupes novads",3.12%,532,4.13%,903.75,"1,955.51",167.18,52.21%
"Ogres novads",4.62%,531,-1.00%,483.01,"1,241.06",47.08,53.81%
"Olaines novads",5.06%,494,-0.08%,544.77,"1,097.58",61.97,54.12%
"Rīga",4.72%,545,-0.62%,576.05,"1,040.62",119.66,55.47%
"Ropažu novads",4.28%,449,-0.70%,482.26,"1,244.19",62.35,52.09%
"Salacgrīvas novads",5.84%,510,-1.93%,385.55,"1,085.56",52.38,51.83%
"Salaspils novads",4.95%,510,0.39%,590.81,"1,719.17",61.50,53.08%
"Saulkrastu novads",4.00%,599,0.28%,545.00,"1,210.75",178.71,53.50%
"Sējas novads",5.85%,471,-2.46%,479.31,"1,209.56",78.26,51.87%
"Siguldas novads",5.51%,535,1.07%,543.84,"1,140.42",64.49,53.70%
"Stopiņu novads",4.16%,492,1.37%,668.43,"1,726.52",123.35,52.68%
"Tukuma novads",6.34%,537,-1.23%,387.80,"1,459.65",49.10,52.43%
"Alūksnes novads",12.05%,521,-1.65%,296.99,"1,377.47",35.55,52.20%
"Amatas novads",6.70%,518,-0.17%,344.83,"2,119.88",51.83,50.58%
"Apes novads",6.93%,532,-1.74%,259.69,"1,722.52",47.92,50.81%
"Beverīnas novads",7.32%,507,-0.76%,393.05,"1,435.82",51.93,50.33%
"Burtnieku novads",5.23%,503,-1.70%,354.96,"2,540.12",50.79,51.55%
"Cēsu novads",6.03%,533,-1.35%,444.07,"1,372.42",50.35,54.49%
"Cesvaines novads",11.29%,531,-1.35%,311.99,"1,627.99",33.66,52.50%
"Ērgļu novads",10.77%,573,-1.17%,285.44,"1,083.83",41.65,52.46%
"Gulbenes novads",8.26%,507,-1.26%,328.56,"1,221.27",35.02,52.65%
"Jaunpiebalgas novads",5.44%,527,-1.69%,276.79,"1,383.70",38.66,53.14%
"Kocēnu novads",7.74%,491,-1.15%,362.69,"1,466.89",44.79,51.57%
