"Municipality","UnemploymentRate","DependencyRatio","PopulationChangePerYear","PerCapitaIncomeTax","ExpenditurePerStudent","PerCapitaRealEstateTax","FemaleRatio"
"Ādažu novads",6.00%,446,4.84%,697.87,,91.29,52.42%
"Alojas novads",11.35%,537,-1.57%,231.20,,27.63,51.70%
"Babītes novads",6.76%,488,3.42%,733.68,,96.93,52.43%
"Baldones novads",7.49%,543,3.61%,474.23,,46.79,52.24%
"Carnikavas novads",6.51%,511,3.49%,670.05,,96.93,51.58%
"Engures novads",7.25%,543,0.16%,402.78,,35.84,51.77%
"Garkalnes novads",6.14%,457,5.17%,811.33,,105.52,51.19%
"Ikšķiles novads",6.99%,541,3.77%,734.70,,42.41,51.91%
"Inčukalna novads",11.85%,472,0.26%,457.58,,38.99,52.55%
"Jaunpils novads",10.27%,488,-2.20%,293.59,,41.47,50.29%
"Jūrmala",10.66%,518,0.11%,527.74,,117.72,54.51%
"Kandavas novads",10.39%,528,-0.86%,260.01,,31.97,52.00%
"Ķeguma novads",11.10%,475,-0.30%,401.27,,43.91,51.17%
"Ķekavas novads",6.51%,491,2.59%,713.75,,64.10,53.06%
"Krimuldas novads",9.34%,478,-0.36%,393.89,,49.20,51.11%
"Lielvārdes novads",10.33%,507,-0.62%,406.32,,27.36,53.19%
"Limbažu novads",12.94%,529,-0.54%,325.04,,40.86,52.51%
"Mālpils novads",10.52%,481,-0.51%,335.42,,31.28,51.62%
"Mārupes novads",5.45%,507,6.34%,894.82,,117.31,52.46%
"Ogres novads",9.39%,509,-0.41%,441.90,,38.50,53.77%
"Olaines novads",10.79%,462,2.10%,492.11,,46.09,54.03%
"Rīga",8.13%,518,-0.95%,544.04,,92.01,55.53%
"Ropažu novads",7.82%,438,2.71%,456.55,,45.33,52.00%
"Salacgrīvas novads",9.25%,522,-1.35%,337.71,,38.81,52.09%
"Salaspils novads",10.31%,474,1.54%,551.27,,47.30,53.08%
"Saulkrastu novads",6.74%,605,1.41%,517.67,,111.75,53.77%
"Sējas novads",9.86%,469,0.57%,462.68,,63.88,51.88%
"Siguldas novads",10.39%,522,1.24%,512.96,,46.14,53.78%
"Stopiņu novads",8.13%,482,2.74%,662.81,,87.79,52.85%
"Tukuma novads",10.98%,530,-0.38%,340.89,,34.00,52.61%
"Alūksnes novads",15.95%,526,-1.09%,265.19,,28.26,52.31%
"Amatas novads",11.24%,529,0.35%,313.43,,44.38,51.17%
"Apes novads",13.27%,549,-1.53%,220.93,,40.75,51.31%
"Beverīnas novads",11.04%,507,-0.11%,365.56,,46.13,50.73%
"Burtnieku novads",7.16%,485,-1.10%,311.18,,40.76,51.76%
"Cēsu novads",10.11%,519,-0.60%,404.30,,38.97,54.60%
"Cesvaines novads",12.59%,542,-1.35%,273.43,,27.50,52.98%
"Ērgļu novads",13.15%,570,-0.81%,273.19,,31.08,52.66%
"Gulbenes novads",11.29%,511,-1.29%,286.26,,27.05,52.87%
